time,open,close,outcome_up,strategy,side,model_prob_up,market_prob_up,edge,vol_regime,imbalance,momentum_signal,reason,won,stake,pnl
2026-02-23 09:15:00,65748.0,65844.09,True,momentum,,0.5,0.5,0.0,SIT_OUT,0.0,0.0,sit out: volatility regime,,0.0,0.0
2026-02-23 09:30:00,65844.09,66275.84,True,momentum,UP,0.500459904324618,0.5,0.0004599043246179546,TRADE,0.0,0.0009198086492359932,edge +0.000 > threshold 0.000,True,10.0,10.0
2026-02-23 09:45:00,66275.84,66404.91,True,momentum,UP,0.5009909575288132,0.5,0.0009909575288131744,TRADE,0.0,0.0019819150576263498,edge +0.001 > threshold 0.000,True,10.0,10.0
2026-02-23 10:00:00,66404.92,66317.4,False,momentum,UP,0.5004411592815609,0.5,0.0004411592815608545,TRADE,0.0,0.0008823185631216587,edge +0.000 > threshold 0.000,False,10.0,-10.0
2026-02-23 10:15:00,66317.39,66363.25,True,momentum,,0.49970250717173914,0.5,-0.0002974928282608591,SIT_OUT,0.0,-0.0005949856565217641,sit out: volatility regime,,0.0,0.0
2026-02-23 10:30:00,66363.25,66342.62,False,momentum,,0.4998841799880276,0.5,-0.00011582001197241176,SIT_OUT,0.0,-0.000231640023944828,sit out: volatility regime,,0.0,0.0
2026-02-23 10:45:00,66342.63,66319.69,False,momentum,,0.4999376136212432,0.5,-6.238637875677355e-05,SIT_OUT,0.0,-0.00012477275751351266,sit out: volatility regime,,0.0,0.0
2026-02-23 11:00:00,66319.69,66367.07,True,momentum,,0.49998557309965497,0.5,-1.4426900345032578e-05,SIT_OUT,0.0,-2.885380069001201e-05,sit out: volatility regime,,0.0,0.0
2026-02-23 11:15:00,66367.08,66325.3,False,momentum,,0.5002257747865967,0.5,0.0002257747865966886,SIT_OUT,0.0,0.0004515495731933118,sit out: volatility regime,,0.0,0.0
2026-02-23 11:30:00,66325.31,66128.0,False,momentum,,0.49976835767623107,0.5,-0.00023164232376893246,SIT_OUT,0.0,-0.0004632846475378413,sit out: volatility regime,,0.0,0.0
2026-02-23 11:45:00,66127.99,66207.23,True,momentum,,0.49951197785191287,0.5,-0.0004880221480871305,SIT_OUT,0.0,-0.0009760442961742424,sit out: volatility regime,,0.0,0.0
2026-02-23 12:00:00,66207.23,66220.81,True,momentum,,0.5000175161471382,0.5,1.7516147138185723e-05,SIT_OUT,0.0,3.5032294276311346e-05,sit out: volatility regime,,0.0,0.0
2026-02-23 12:15:00,66220.81,66138.83,False,momentum,,0.5000967408024155,0.5,9.674080241550698e-05,SIT_OUT,0.0,0.00019348160483092437,sit out: volatility regime,,0.0,0.0
2026-02-23 12:30:00,66138.82,66419.33,True,momentum,,0.49984844442882903,0.5,-0.0001515555711709693,TRADE,0.0,-0.0003031111423419385,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-23 12:45:00,66419.33,66280.4,False,momentum,UP,0.5009711442609744,0.5,0.0009711442609744436,TRADE,0.0,0.0019422885219488172,edge +0.001 > threshold 0.000,False,10.0,-10.0
2026-02-23 13:00:00,66280.4,66220.51,False,momentum,,0.499921818240801,0.5,-7.818175919899195e-05,TRADE,0.0,-0.00015636351839801497,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-23 13:15:00,66220.51,66226.66,True,momentum,,0.49975529153332626,0.5,-0.0002447084666737376,TRADE,0.0,-0.0004894169333475288,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-23 13:30:00,66226.65,66353.16,True,momentum,,0.4999274490971012,0.5,-7.255090289881583e-05,TRADE,0.0,-0.0001451018057976462,"edge -0.000 inside threshold band, no trade",,0.0,0.0
2026-02-23 13:45:00,66353.15,66132.66,False,momentum,UP,0.5004512050957146,0.5,0.000451205095714613,TRADE,0.0,0.0009024101914292086,edge +0.000 > threshold 0.000,False,10.0,-10.0
2026-02-23 14:00:00,66132.65,66243.4,True,momentum,,0.4994823842635989,0.5,-0.000517615736401078,SIT_OUT,0.0,-0.0010352314728021919,sit out: volatility regime,,0.0,0.0
2026-02-23 14:15:00,66243.4,66086.27,False,momentum,,0.5000868678125353,0.5,8.686781253530729e-05,SIT_OUT,0.0,0.00017373562507063807,sit out: volatility regime,,0.0,0.0
2026-02-23 14:30:00,66086.26,65832.41,False,momentum,DOWN,0.4997377386027543,0.5,-0.00026226139724572217,TRADE,0.0,-0.0005245227944914952,edge -0.000 < -threshold 0.000,True,10.0,10.0
2026-02-23 14:45:00,65832.42,65923.53,True,momentum,DOWN,0.4992352968914733,0.5,-0.0007647031085267209,TRADE,0.0,-0.0015294062170534686,edge -0.001 < -threshold 0.000,False,10.0,-10.0
2026-02-23 15:00:00,65923.52,65958.25,True,momentum,,0.5000784025768185,0.5,7.84025768184593e-05,TRADE,0.0,0.0001568051536369199,"edge +0.000 inside threshold band, no trade",,0.0,0.0
