strategy,fast,slow,threshold,n_trades,win_rate,total_pnl,p_value,significant
mean_reversion,8,30,0.0015,4626,0.4541720709035884,-4240.0,4.548297294348913e-10,True
mean_reversion,5,20,0.0015,4626,0.4541720709035884,-4240.0,4.548297294348913e-10,True
mean_reversion,3,12,0.0015,4626,0.4541720709035884,-4240.0,4.548297294348913e-10,True
momentum,3,12,0.00025,3006,0.5562208915502329,3380.0,7.055189765736714e-10,True
mean_reversion,8,30,0.001,5117,0.4580809067813172,-4290.0,2.0073080975180346e-09,True
mean_reversion,5,20,0.001,5117,0.4580809067813172,-4290.0,2.0073080975180346e-09,True
mean_reversion,3,12,0.001,5117,0.4580809067813172,-4290.0,2.0073080975180346e-09,True
mean_reversion,8,30,0.0005,5584,0.46328796561604585,-4100.0,4.0951356083951396e-08,True
mean_reversion,3,12,0.0005,5584,0.46328796561604585,-4100.0,4.0951356083951396e-08,True
mean_reversion,5,20,0.0005,5584,0.46328796561604585,-4100.0,4.0951356083951396e-08,True
mean_reversion,3,12,0.00025,5811,0.46584064704870076,-3970.0,1.9095978598393515e-07,True
mean_reversion,5,20,0.00025,5811,0.46584064704870076,-3970.0,1.9095978598393515e-07,True
mean_reversion,8,30,0.00025,5811,0.46584064704870076,-3970.0,1.9095978598393515e-07,True
momentum,5,20,0.00025,3709,0.5297923968724724,2210.0,0.0002847341303002793,True
confluence,3,12,0.00025,1786,0.5369540873460247,1320.0,0.0017875014803452327,True
momentum,8,30,0.001,874,0.45080091533180777,-860.0,0.003625945222900384,True
momentum,8,30,0.0015,335,0.4208955223880597,-530.0,0.003783146772770918,True
momentum,3,12,0.0005,1292,0.5402476780185759,1040.0,0.003811473229133888,True
confluence,8,30,0.001,703,0.44950213371266,-710.0,0.00741039771667551,True
momentum,8,30,0.00025,4066,0.5204131824889326,1660.0,0.009233082635781376,True
confluence,8,30,0.0015,276,0.4311594202898551,-380.0,0.022176498204672157,True
confluence,5,20,0.00025,2331,0.5203775203775204,950.0,0.04910591319677193,True
confluence,5,20,0.001,431,0.4547563805104408,-390.0,0.06030406448061898,False
momentum,5,20,0.001,567,0.4620811287477954,-430.0,0.07094485726017652,False
confluence,8,30,0.00025,2740,0.5124087591240876,680.0,0.19391880120502702,False
confluence,3,12,0.0005,796,0.5226130653266332,360.0,0.20196040835436957,False
momentum,3,12,0.001,279,0.5376344086021505,210.0,0.20866778769826455,False
confluence,5,20,0.0015,168,0.4583333333333333,-140.0,0.28008721081149734,False
momentum,5,20,0.0015,211,0.46445497630331756,-150.0,0.3017711910045975,False
momentum,5,20,0.0005,1973,0.5114039533705018,450.0,0.31101612415898217,False
momentum,3,12,0.0015,76,0.5394736842105263,60.0,0.491297124215893,False
confluence,3,12,0.001,200,0.515,60.0,0.6713732405408723,False
confluence,8,30,0.0005,1802,0.49500554938956715,-180.0,0.6715449828391877,False
confluence,5,20,0.0005,1327,0.49736247174076864,-70.0,0.8476170199336124,False
momentum,8,30,0.0005,2502,0.5015987210231815,80.0,0.8729314593962574,False
confluence,3,12,0.0015,59,0.4915254237288136,-10.0,0.8964169676673137,False
