freq,strategy,fast,slow,threshold,train_n,train_win_rate,train_p,test_n,test_win_rate,test_p,test_pnl
15min,momentum,3,12,0.00025,2307,0.552665799739922,4.210029429518869e-07,699,0.5679542203147353,0.0003266040514069424,950.0
15min,mean_reversion,3,12,0.0015,3543,0.4575218741179791,4.2621617302174286e-07,1083,0.44321329639889195,0.00018579752690506268,-1230.0
15min,mean_reversion,5,20,0.0015,3543,0.4575218741179791,4.2621617302174286e-07,1083,0.44321329639889195,0.00018579752690506268,-1230.0
15min,mean_reversion,8,30,0.0015,3543,0.4575218741179791,4.2621617302174286e-07,1083,0.44321329639889195,0.00018579752690506268,-1230.0
15min,mean_reversion,3,12,0.001,3907,0.4622472485282826,2.3637049355595963e-06,1210,0.4446280991735537,0.0001170474110943065,-1340.0
15min,mean_reversion,5,20,0.001,3907,0.4622472485282826,2.3637049355595963e-06,1210,0.4446280991735537,0.0001170474110943065,-1340.0
15min,mean_reversion,8,30,0.001,3907,0.4622472485282826,2.3637049355595963e-06,1210,0.4446280991735537,0.0001170474110943065,-1340.0
15min,mean_reversion,3,12,0.0005,4279,0.46786632390745503,2.6225191684936533e-05,1305,0.4482758620689655,0.00018619443085676757,-1350.0
15min,mean_reversion,5,20,0.0005,4279,0.46786632390745503,2.6225191684936533e-05,1305,0.4482758620689655,0.00018619443085676757,-1350.0
15min,mean_reversion,8,30,0.0005,4279,0.46786632390745503,2.6225191684936533e-05,1305,0.4482758620689655,0.00018619443085676757,-1350.0
15min,mean_reversion,3,12,0.00025,4452,0.4714734950584007,0.00014079606041406123,1359,0.44738778513612953,0.00010486161447431641,-1430.0
15min,mean_reversion,5,20,0.00025,4452,0.4714734950584007,0.00014079606041406123,1359,0.44738778513612953,0.00010486161447431641,-1430.0
15min,mean_reversion,8,30,0.00025,4452,0.4714734950584007,0.00014079606041406123,1359,0.44738778513612953,0.00010486161447431641,-1430.0
15min,momentum,8,30,0.001,665,0.43759398496240604,0.0012881716999979531,209,0.49282296650717705,0.8356081953650438,-30.0
